EGG SIZE ANALYSIS REPORT (OPTIMIZED)
==================================================
Camera Height: 70 cm
Conveyor Length: 75 cm
--------------------------------------------------

Egg ID  0: 5.7x7.1cm
Egg ID  1: 5.6x7.3cm
Egg ID  2: 5.3x6.1cm
Egg ID  3: 5.0x7.2cm
Egg ID  4: 5.7x6.5cm
Egg ID  5: 5.4x6.6cm
Egg ID  6: 5.3x6.8cm
Egg ID  7: 5.3x7.0cm
Egg ID  8: 5.6x6.6cm
Egg ID  9: 5.1x6.6cm
Egg ID 10: 5.4x6.4cm
Egg ID 11: 5.3x6.6cm
Egg ID 12: 5.2x6.2cm
Egg ID 13: 5.7x6.8cm
Egg ID 14: 5.5x7.2cm
Egg ID 15: 6.1x5.9cm
Egg ID 16: 5.4x6.8cm
Egg ID 17: 5.3x7.3cm
Egg ID 18: 5.7x7.1cm
Egg ID 19: 5.2x6.9cm
Egg ID 20: 6.5x5.3cm
Egg ID 21: 5.3x6.6cm
Egg ID 22: 5.5x6.5cm
Egg ID 23: 5.5x7.3cm
Egg ID 24: 6.2x6.5cm
Egg ID 25: 5.7x6.6cm
Egg ID 26: 5.2x7.0cm
Egg ID 27: 5.2x6.9cm
Egg ID 28: 5.3x6.8cm
Egg ID 29: 5.6x6.3cm
Egg ID 30: 5.3x7.0cm
Egg ID 31: 4.8x6.4cm
Egg ID 33: 5.5x7.0cm
Egg ID 34: 5.4x6.9cm
Egg ID 35: 5.7x6.8cm
Egg ID 36: 5.4x6.7cm
Egg ID 38: 5.9x7.4cm
Egg ID 39: 4.9x6.3cm
Egg ID 40: 6.2x6.1cm
Egg ID 41: 5.3x7.0cm
Egg ID 42: 5.7x7.2cm
Egg ID 44: 6.2x6.5cm
Egg ID 45: 5.3x6.8cm
Egg ID 47: 5.4x7.3cm
Egg ID 48: 5.8x7.2cm
Egg ID 49: 5.8x7.0cm
Egg ID 50: 5.4x6.5cm
Egg ID 51: 5.7x7.0cm
Egg ID 52: 5.4x7.0cm
Egg ID 54: 5.6x7.0cm
Egg ID 55: 6.0x5.9cm
Egg ID 56: 5.6x6.3cm
Egg ID 57: 5.2x6.7cm
Egg ID 59: 5.4x6.9cm
Egg ID 61: 5.5x7.0cm
Egg ID 62: 5.6x6.8cm
Egg ID 63: 5.2x6.9cm
Egg ID 64: 5.8x6.2cm
Egg ID 65: 6.5x7.6cm
Egg ID 66: 5.6x7.0cm
Egg ID 67: 5.1x6.3cm
Egg ID 69: 5.6x6.8cm
Egg ID 70: 5.8x5.7cm
Egg ID 71: 5.6x6.9cm
Egg ID 73: 5.6x7.1cm
Egg ID 74: 5.3x6.5cm
Egg ID 75: 5.3x6.8cm
Egg ID 77: 5.3x6.3cm
Egg ID 78: 5.7x7.1cm
Egg ID 79: 5.6x7.3cm
Egg ID 80: 5.2x7.1cm
Egg ID 81: 5.5x7.1cm
Egg ID 82: 6.4x5.0cm
Egg ID 84: 5.7x7.0cm
Egg ID 85: 6.1x6.2cm
Egg ID 86: 5.5x6.8cm
Egg ID 88: 5.9x6.4cm
Egg ID 89: 5.8x6.7cm
Egg ID 90: 5.9x7.3cm
Egg ID 91: 6.2x7.0cm
Egg ID 92: 8.4x6.8cm
Egg ID 93: 5.5x6.1cm
Egg ID 94: 6.1x5.8cm
Egg ID 95: 5.7x7.5cm
Egg ID 96: 5.0x7.0cm
Egg ID 98: 5.7x7.2cm
Egg ID 100: 5.3x5.7cm
Egg ID 102: 5.2x6.6cm
Egg ID 103: 5.4x7.1cm
Egg ID 104: 5.5x7.0cm
Egg ID 107: 5.9x6.4cm
Egg ID 109: 5.6x7.5cm
Egg ID 110: 5.0x7.0cm
Egg ID 111: 5.6x6.5cm
Egg ID 112: 5.5x5.7cm
Egg ID 114: 5.8x7.4cm
Egg ID 115: 5.0x6.5cm
Egg ID 116: 5.3x5.4cm
Egg ID 117: 6.6x5.8cm
Egg ID 118: 5.7x7.1cm
Egg ID 119: 6.3x6.1cm
Egg ID 120: 5.1x5.5cm
Egg ID 122: 5.7x6.8cm
Egg ID 123: 5.2x6.1cm
Egg ID 126: 5.1x6.9cm
Egg ID 127: 5.8x6.7cm
Egg ID 128: 6.6x5.5cm
Egg ID 129: 5.7x6.8cm
Egg ID 130: 5.2x7.0cm
Egg ID 132: 5.4x6.5cm
Egg ID 133: 6.7x6.2cm
Egg ID 134: 5.3x6.8cm
Egg ID 135: 7.0x6.3cm
Egg ID 136: 6.6x5.7cm
Egg ID 137: 5.4x7.2cm
Egg ID 139: 6.1x6.0cm
Egg ID 140: 5.5x6.9cm
Egg ID 141: 5.5x7.0cm
Egg ID 142: 4.8x6.7cm
Egg ID 143: 5.7x7.5cm
Egg ID 144: 5.3x6.7cm
Egg ID 145: 5.5x7.4cm
Egg ID 146: 5.5x6.7cm
Egg ID 147: 5.9x7.1cm
Egg ID 148: 5.4x6.6cm
Egg ID 149: 5.2x7.0cm
Egg ID 150: 5.7x7.1cm
Egg ID 151: 5.6x7.1cm
Egg ID 152: 5.0x6.5cm
Egg ID 153: 5.7x6.4cm
Egg ID 155: 6.2x6.2cm
Egg ID 156: 6.3x6.0cm
Egg ID 157: 5.8x5.9cm
Egg ID 158: 5.7x7.4cm
Egg ID 160: 6.4x5.4cm
Egg ID 161: 5.8x7.3cm
Egg ID 162: 5.3x6.6cm
Egg ID 163: 5.4x7.2cm
Egg ID 164: 5.7x5.3cm
Egg ID 165: 5.8x6.9cm
Egg ID 166: 5.8x6.5cm
Egg ID 168: 5.3x6.6cm
Egg ID 169: 5.6x7.4cm
Egg ID 170: 5.4x7.2cm
Egg ID 171: 6.3x5.1cm
Egg ID 172: 5.6x6.5cm
Egg ID 174: 5.3x7.5cm
Egg ID 175: 5.7x6.8cm
Egg ID 176: 5.9x7.3cm
